,text
0,A Germanwings airplane has crashed in the French Alps near Digne (southern France)
1,67 German nationals were onboard the flight
2,The Germanwings flight disappeared from the radar at 9.39 UTC
3,The co-pilot interrupted his training because of burnout or depression / had a serious depressive episode in 2009
4,There were 148 people onboard the Germanwings plane
5,A distress/mayday/SOS call was sent from the airplane before the crash
6,The pilots were Patrick Sondheimer (captain) and Andreas Lubitz (co-pilot)
7,"(Up to) 150 people perished in the crash (144 passengers, 6 crew)"
8,The co-pilot was a convert to Islam
9,"The pilots called ""emergency, emergency"" from the cockpit (last words before the crash)"
10,The Germanwings plane that reportedly crashed was flying from Barcelona to Dusseldorf (flight 4U9525)
11,The Germanwings plane experienced a rapid descent before crashing
12,Only one pilot was in the cockpit at the time of the crash / the other pilot was (deliberately) locked out
13,There were 142 passengers onboard the Germanwings flight
14,"The airplane lost signal at 6,800 feet"
15,There are no survivors in Germanwings crash
16,The co-pilot received a commendation from the FAA for his flying skills
17,Two babies were among the passengers on the Germanwings flight
18,"A German school group (16 students, 2 teachers) from Haltern among the passengers on Germanwings"
