,text
0,"The gunman and/or hostages have made contact with Sydney media outlet(s) (radio station, etc.)"
1,At least one person has been shot / injured
2,There is a hostage situation at a cafe in Sydney
3,A (black) Islamic flag is being held up in the window of cafe in Sydney's Martin Place
4,The US Consulate in Sydney has been evacuated
5,There is more than one gunman involved in the hostage-taking at the Sydney cafe
6,The hostage-taker is down
7,Hostages are being held by men waving an ISIS flag inside a cafe in Sydney's Martin Place
8,The Sydney airspace has been closed
9,"The gunman's headband reads, ""We are your soldiers O Muhammad"""
10,There has been an incident at Sydney Opera House
11,"""Several"" more hostages have escaped from the cafe (after initial 5)"
12,There are 13 hostages inside the Sydney cafe
13,"The gunman has said he has ""devices"" (bombs) placed in other parts of the city"
14,The gunman has made specific demands to authorities
15,Two more (female) hostages have run out of the cafe (for total of five hostages free so far)
16,Uber introduced surge pricing in downtown Sydney during hostage crisis
17,The hostage-taker has been killed/shot (by police)
18,40-50 hostages are being held at cafe in Sydney (according to Lindt CEO)
19,A bomb detection robot has entered the cafe
20,Hostages are running out/escaping from the cafe
21,The gunman behind the hostage-taking is named Man Monis
22,Hostages are posting messages on social media from inside cafe
23,The gunman has released (three) hostages / 3 hostages are free
24,Police (authorities) have been in contact with the hostage-taker
25,Martin Place/CBD is in lockdown (and surrounding buildings have been evacuated)
26,(Alleged) ISIS militants are behind the hostage-taking in the Sydney cafe
27,"One hostage texted ""I'm OK"" to his mother"
28,The gunman wants to speak to Prime Minister Tony Abbott
29,Paramedics are carrying out a number of hostages from the cafe
30,At least 2 people have died
31,A gunman has taken hostages at a cafe in Sydney's Martin Place
32,The gunman is using a female hostage as a shield inside the cafe
33,CPR is being performed on at least 2 people
34,An ISIS (IS) flag is being displayed (by hostages) at the cafe in Sydney's Martin Place
35,The flag being held up is a Shahadah flag with Islamic creed (script) commonly used by militants
36,Police have stormed the cafe
37,Up to five more hostages have escaped from the cafe (after initial 5)
38,The Sydney Opera House has been evacuated
39,The hostage-takers are wearing suicide belts
40,There have been police raids in Lakemba
41,One of the hostages now free is Elly Chen
42,The Lindt cafe hostage-taking may be a diversion for something else (another bigger terrorist event)
43,Police have arrested a suspect at Martin Place
44,One or more shots/live ammunition have gone off at the cafe
45,The siege/hostage-taking crisis is over
46,Up to 20 people are being held hostage inside the Sydney cafe
47,A sixth hostage has escaped/run out of the Sydney cafe
48,Police have established the identity of the gunman
49,The flag being flown at the cafe is that of Jabah Al-Nusra
50,"The script on the flag reads: ""There is no God but Allah and Muhammad is the messenger of God"""
51,The hostage situation in the Sydney cafe is an armed robbery
52,At least 7 hostages have been released from cafe (after initial 5 ran out)
53,There is one Indian national among the hostages
54,One more hostage has run out of the cafe (for total of 6)
55,The Lindt cafe was targeted because it was not halal-certified
56,At least four people have been injured
57,Six more hostages have escaped from the cafe (after initial 5)
58,A police officer has a gunshot wound to the head/is injured
59,Media outlets know identity of gunman but are not publishing it
60,At least 12 more hostages have emerged from cafe (after initial 5)
