,text
0,An armed man has taken a hostage in a kosher store in Paris (Porte de Vincennes)
1,The two Charlie Hebdo suspects have been killed in a police assault in Dammartin
2,Four cartoonists were killed in the Charlie Hebdo attack
3,The Charlie Hebdo suspects are holed up inside printing business in Dammartin
4,The gunmen confronted/had a shoot-out with police outside Charlie Hebdo
5,(At least) 10 people are dead at Charlie Hebdo offices
6,""" Multiple""  gunmen were involved in the Charlie Hebdo attack"
7,"The gunmen at Charlie Hebdo yelled, ""The Prophet is avenged"""
8,Banksy drew a tribute to Charlie Hebdo featuring 3 red pencils
9,Police officer shot at Montrouge has died of her injuries
10,Several hostages have been freed in Porte de Vincennes
11,The gunmen were asking for the journalists by name
12,Three gunmen are on the run after the Charlie Hebdo attack
13,Hostages have been taken (at a business) in Dammartin-en-Goele
14,5 people have been injured in the Charlie Hebdo attack
15,Two (masked) gunmen were involved in the Charlie Hebdo attack
16,Nine journalists died in the Charlie Hebdo attack
17,"Attackers yelled out ""Allahu Akbar"" on their way out"
18,"The gunmen said, ""You tell the media it was al-Qaeda in Yemen"""
19,Kosher supermarket gunman is asking for release of Charlie Hebdo suspects
20,There are at least five hostages in Porte de Vincennes kosher store
21,Stephane Charbonnier was critically injured in the Charlie Hebdo attack
22,Shots have been fired (and a car chase taken place) in Dammartin-en-Goele
23,There was gunfire at the Porte de Vincennes
24,12 people died in connection with the Charlie Hebdo attack
25,Ahmed Merabet was the first victim of the Charlie Hebdo attack
26,At least two dead in hostage-taking in Porte de Vincennes
27,The gunman at the kosher store is linked to the killing of the police officer in Montrouge
28,One person was injured in shootout in kosher store
29,Two Charlie Hebdo suspects have been spotted (in a town/gas station in Northern France)
30,ID card of one of the Charlie Hebdo suspects found in car abandoned by gunmen
31,At least one person has been killed (and several injured) in shootout with Charlie Hebdo suspects northeast of Paris
32,There is a gunman/has been a shooting incident in Trocadero (police clearing the area)
33,The hostage in Dammartin has been freed following police assault
34,11 people died during the Charlie Hebdo attack
35,"Kosher restaurants /Jewish shops (and schools, synagogues, etc.) are closing in Paris in wake of Porte de Vincennes hostage-taking"
36,Killing of Montrouge police officer is linked to Charlie Hebdo attack (or killer is linked to CH suspects)
37,"A police operation (convoy, helicopters) is underway to catch the Charlie Hebdo suspects northeast of Paris"
38,The attack took place during the (weekly) editorial meeting
39,The Kosher market suspect has links to the Charlie Hebdo suspects
40,Suspect Hamyd Mourad was in class at the time of the Charlie Hebdo shooting
41,2 police officers died during the Charlie Hebdo attack
42,The gunmen were armed with Kalashnikovs and rocket launchers
43,The Charlie Hebdo suspects say they want/are ready to die as martyrs
44,The Charlie Hebdo suspects came out firing from the Dammartin building
45,The suspect in the hostage-taking at the Kosher market is dead
46,At least two reportedly injured in Porte de Vincennes hostage situation
47,A police officer has been shot/wounded in Montrouge
48,The hostage being held by the Charlie Hebdo suspects is a 26-year-old male
49,The shooting of two policemen in Montrouge is not connected to the Charlie Hebdo attack
50,One Charlie Hebdo suspect (H. Mourad) has handed himself in to police
51,A baby is among the hostages in the Kosher market
52,The Charlie Hebdo gunmen spoke French
53,Two people (seriously) wounded in shootout in hunt for Charlie Hebdo suspects northeast of Paris
54,Shots were fired at Montrouge in Paris
55,The Charlie Hebdo gunmen had military training
56,The Charlie Hebdo gunmen fled in a stolen car
57,ISIS has claimed responsibility for Charlie Hebdo attack and announced more attacks to come in the West
58,Three suspects (inc. two brothers) have been identified in the Charlie Hebdo attacks
59,French media outlets to be placed under police protection
