,text
0,Shots fired on Parliament Hill
1,There were three separate shooting incidents
2,Soldier shot dead is Cpl. Nathan Cirillo
3,NORAD on high-alert posture
4,Three patients injured in Ottawa shooting released from hospital
5,The Leafs-Senators game in Ottawa has been postponed
6,Obama to speak with Harper today
7,There was a shooting incident near/at the Rideau Centre
8,A second shooting suspect has been shot
9,The suspect's name is Michael Zehaf-Bibeau
10,A soldier has been shot at National War Memorial
11,30 shots were fired inside/on Parliament Hill
12,The University of Ottawa is on lockdown
13,The suspect had his passport confiscated by Canadian government
14,The shooting was a coordinated attack
15,Suspected shooter has been killed/is dead
16,Parliament Hill is on lockdown
17,The soldier shot at War Memorial has died
18,There will be a police news conference
19,There are multiple shooting suspects still at large
20,As many as 50 shots have been fired on Parliament Hill
21,The FBI is assisting Canadians with the Ottawa shooting
22,Shooter is still on the loose
23,The Prime Minister will make a statement later today
24,The suspect is on the roof of building at Metcalfe and Sparks Street
25,The soldier who was killed had a six-year-old son
26,The soldier who was shot is a reservist from Hamilton
27,Two new patients admitted to hosptial
28,Sergeant at Arms Kevin Vickers shot the suspect (to death)
29,Rideau Centre has been evacuated
30,Canadian officials are calling the incident a terrorist attack
31,There are snipers on the roof of the National Art Gallery
32,Soldiers are already back guarding the war memorial after today's shooting incident
33,Authorities were aware of potential ISIS-related attack
34,U.S. Army has increased security at Tomb of the Unknown at Arlington National Cemetary
35,Suspect has been apprehended on Parliament Hill
36,A person has been wounded inside Parliament buildings
37,At least 20 shots were fired inside Parliament buildings
38,Suspect is (also) named Michael Joseph Hall
39,Rideau Centre is on lockdown
40,One parliamentary guard has been injured
41,"There were ""several"" shooting incidents"
42,All bridges to/from Ottawa are closed
43,Suspect was a (Canadian) convert to Islam
44,The suspect was not wearing a GamerGate t-shirt during the shooting
45,Canadians have given name of suspect to U.S. officials
46,Shots have been fired by/near the Chateau Laurier
47,Some Maple Leafs players heard shots being fired
48,The suspect was prevented from travelling abroad to join ISIS
49,Honorary citizenship ceremony for Malala has been cancelled
50,Suspected shooter was carrying a rifle
