,text
0,M. Brown was involved in a robbery before being shot
1,Initial contact between police officer and M. Brown was not related to the robbery
2,Ferguson police once beat up a man and charged him for bleeding on their uniforms
3,Ferguson police confiscated all video evidence
4,Anonymous has audio files of police and EMS calls of Brown shooting
5,A woman was shot in a drive-by shooting 
6,Ferguson police are leading a smear campaign or character assassination of M. Brown
7,M. Brown was stopped by police for walking in the middle of the street
8,Only one TV reporter was present at August 10 night-time Ferguson protests
9,A person has been shot on Chambers street
10,Ferguson police are lying about the circumstances leading up to M. Brown's death
11,"People at Ferguson protests are shouting ""Kill the police"""
12,Ferguson police to release name of police officer who shot M. Brown today (August 15)
13,Ferguson police released store surveillance video because of media requests
14,Police officer who shot M. Brown has already left town
15,Two of the four police departments in Ferguson were trained by Israel
16,NBP leader inciting violence in Ferguson (Examiner.com rumour)
17,Pentagon supplied St. Louis county police with military-grade weapons
18,Officer who shot M. Brown did not write an incident report
19,Ferguson Police cannot afford dashboard cameras
20,Mike Brown was shot 10 times
21,Media is barred from entering Ferguson
22,M. Brown did not steal anything before being shot
23,"Nearly 7,000 blacks were killed in 2013, most of them by blacks"
24,M. Brown was shot while walking down the street
25,KKK raising money for officer who shot M. Brown
26,Witnesses have cellphone video of the Mike Brown shooting
27,"M. Brown told his mother, ""The world will know who Michael Brown is"""
28,Woman shot in drive-by shooting shot video of protests
29,M. Brown assaulted the police officer who shot him
30,Mike Brown was living with his grandmother
31,Every 28 hours a black male is killed in the US
32,Ferguson Police Chief says his feelings are hurt
33,200 police officers at Ferguson protests on August 10
34,"Ferguson police swat team have ""murder insurance"" to protect from lawsuits"
35,Fox News is not covering the Ferguson protests
36,"So far in 2014, Ferguson has not recorded any homicides"
37,Police officer emptied his gun clip on M. Brown
38,Police are throwing things at the crowd of protesters (August 13)
39,Americans are eight times more likely to be killed by police than by a terrorist
40,"Police were ""throwing"" people at the protests"
