,text
0,Two explosions near finish line
1,Boston bombings are a false flag operation
2,8 years old child died
3,8 years old girl died while running for her best friend
4,78 years old runner is knocked down by blast
5,78 years old runner knocked down is Bill Iffrig
6,8 years old girl or boy?
7,"8 years old girl is not one of the dead, a 8 years old boy is dead"
8,8 years old girl died
9,Mom and sister of the 8 years old boy who was killed are injured.
10,8 years old boy's mom got a brain injury and his sister lost a leg.
11,8 years old boy who was killed was waiting for his dad to finish his marathon.
12,8 years old boy died
13,8 years old boy killed has been identified as Martin Richard
14,Police tell people to stay away from the JFK library
15,The third explosion has been reported
16,The third explosion at the JFK library unknown connection
17,A Saudi Arabian descent is in custody.
18,The suspect has the same rights as any Americans is on a student visa.
19,"April 15: Lincoln dies (1865), Titanic sinks (1912), Aer Lingus and McDonalds founded (1936/1955), Hillsborough (1989), Boston bombings (2013)"
20,Bombs were pressure cookers and placed in black duffel bags
21,8 years old girl died while running for the newtown kids
22,8 years old girl died while running for the Sandy Hook kids
23,Cell phone service has been shut down
24,No one is in custody
25,A fire broke out at the JFK library. Not an explosion.
26,"A suspicious driver leads police, FBI to apartment in Revere, Mass."
27,8 years old boy died while running for the newtown kids
28,8 years old boy died while running for the Sandy Hook kids
29,2 more explosive devices found
30,Danny Amendola will donate $100 catch &$200 drop next season
31,The 1st explosion reported on Boylston Street
32,Westboro Baptist church picketing
33,2 explosive devices found
34,The third device found
35,Officials found what they believe are five undetonated explosive devices in Boston area.
36,Officials told NBC News small homemade bombs are preliminary causes
37,Third bomb has gone off at the Boston Library
38,the FBI previously investigated the Boston marathon bombing suspect Tamerlan Tsarnaev
39,Suspects Became Citizens on 9/11
40,Two suspects are Tamerlan and Dzhokar Tsarnaev
41,the vehicle the Tsarnaev brothers carjacked bore a ‘Coexist’ bumper sticker
42,Westboro Baptist church to picket funerals of those dead by Boston bombs.
43,Explosions were planned and coordinated by sinister force such as the government
44,a number of the Facebook Boston Marathon bombing-related pages were created earlier than explosions
45,Woman killed before boyfriend's proposal
46,There will be a controlled explosion opposite the library within one minute as part of bomb squad activities
47,There will be a controlled detonation of a suspicious device near the Boston Public Library
48,A man on the roof of a nearby building
49,20-year-old Saudi national was being investigated as a “person of interest”
50,A suspect caught on a CCTV surveillance camera
51,Family Guy television series depicting the Boston Marathon bombings
52,Google has created a Person Finder for those affected by the explosions
53,One suspect in Boston Marathon bombing shot and killed by police. The other suspect on the run
54,Three people taken into custody in New Bedford as part of Boston Marathon terror bombing investigation.
55,Boston Marathon suspect in custody
56,"The FBI agents, who eliminated Boston terrorist Tamerlan Tsarnaev, died as they fell out of a helicopter, the FBI said"
57,air quality experts have been brought into Boston to ensure explosions were not a chemical attack.
58,2 more explosives found at Boston marathon
59,Boston police commissioner: 3rd explosion at JFK Library
60,"Doctors: bombs contained pellets, shrapnel and nails that hit victims"
61,FBI releases pictures of torn backpack & mangled pressure cooker used in Boston bomb attack
62,Suspect in Boston bombing described as dark skinned male
63,An arrest has been made in the investigation of Boston Marathon bombings
64,Despite reports to the contrary there has not been an arrest in the Marathon attack.
65,"One Marathon bombing suspect has been caught, and another is on the loose in Watertown."
66,Watertown: Police search for white-capped #Boston Marathon bomb suspect on the loose after shooting and carjacking
67,"Boston bomb suspects from Russia region near Chechnya, lived in US at least 1 year."
68,"Surviving Boston bomb suspect identified as Dzhokhar A. Tsarnaev, 19, of Cambridge, Mass."
69,Djohar Tsarnaev writes in his social network: Personal priority: Career and Money
70,Watertown: Djohar Tsarnaev's profile. Last seen: yesterday at 8:04 pm
71,"Bombing suspect Dzhokhar Tsarnaev received US citizenship on Sep 11, 2012"
72,Aunt of Boston marathon bombing suspects lives in Toronto.
73,Tamerian Tsarnaev questioned in 2011 by the FBI and released?
74,FBI now acknowledges they interviewed Tsarnaev 2 years ago at the request of a foreign country
75,Dzhokhar Tsarnaev has finally been arrested and is in custody.
76,Law enforcement sources say Boston bombing suspect learned how to make bombs via instructions found on the Internet
77,Boston Bombing Suspect Probed for Link with Extremist Group
78,"Marathon bombing suspect admitted that he and brother detonated bombs, killed police officer"
79,The pressure cookers used in the Boston Bombing were bought at Macy's.
80,Boston Bombing Suspect Dzhokhar Tsarnaev Reveals New York Terror Plan
81,Russia Recorded Boston Bombing Suspect Discussing Jihad With his Mother Over the Phone
82,Feds eye taking death penalty off table for Boston bomb suspect in exchange for attack details
83,Suspects In Custody Allegedly Helped Dzhokhar Tsarnaev After Bombing
84,"The three people arrested are roommates of Tsarnaev at UMass-Dartmouth,"
85,"Suspected Boston bombers initially planned to carry out attack on July 4, but bombs were ready early."
86,"AFTER Boston Bombing, US Customs Decides to Verify All International Student Visas"
87,Friend of Boston Bombing Suspect Shot and Killed by FBI Agent.
